facility_id|license|dba_name|facility_type|address|city|state|zip|latitude|longitude|location|has_location
1|0|SOLRAC SNACS LLC|Restaurant|4809 W HARRISON ST|CHICAGO|IL|60644|41.873014|-87.745398|"
,  
(41.87301397190055, -87.74539753606524)"|t
2|1|HARVEST CRUSADES MINISTRIES|Special Event|118 N CENTRAL AVE |CHICAGO|IL|60644|41.882845|-87.765095|(41.88284507471884, -87.76509545204392)|t
3|1000|BELMONTE LIQUORS|Liquor|600 S CICERO AVE |CHICAGO|IL|60644|41.873095|-87.745144|(41.873094832519136, -87.74514386884542)|t
4|1000049|PEREZ MEXICAN FOOD|Restaurant|853-855 W RANDOLPH ST |CHICAGO|IL|60607|41.884261|-87.649534|(41.88426142200001, -87.6495341312589)|t
5|1000125|D & D FOOD & LIQUOR|Grocery Store|2006 W DIVISION ST |CHICAGO|IL|60622|41.903295|-87.677611|(41.90329479841468, -87.67761094821579)|t
6|1000160|MY BOY JACK'S|Unknown|2547 W 111TH ST |CHICAGO|IL|60655|41.691640|-87.685376|(41.69163955333362, -87.68537627430032)|t
7|1000200|KAPPIL STORE|Unknown|5952 W DIVERSEY AVE |CHICAGO|IL|60639|41.931252|-87.775672|(41.931252123128445, -87.7756722749983)|t
8|1000209|lakeview food mart|Unknown|711 W BELMONT AVE |CHICAGO|IL|60657|41.939899|-87.647332|(41.93989937763544, -87.64733231471344)|t
9|1000245|DUFFY'S TAVERN & GRILLE|Restaurant|420 1/2 W DIVERSEY PKWY |CHICAGO|IL|60614|41.933004|-87.640186|(41.93300409973139, -87.64018629087145)|t
10|1000325|BRIDGET MCNEILLS|Restaurant|420 W BELMONT AVE |CHICAGO|IL|60657|41.940213|-87.640450|(41.94021288733969, -87.64044977373753)|t
11|1000456|MAS RESTAURANT|Unknown|1670 W DIVISION ST |CHICAGO|IL|60622|41.903410|-87.670296|(41.90341001498685, -87.67029621760888)|t
12|1000572|JEWEL FOOD STORE #3030|Grocery Store|7530 S STONY ISLAND AVE|CHICAGO|IL|60649|41.757806|-87.586268|"
,  
(41.75780565854321, -87.58626825801873)"|t
13|1000612|NAHA RESTAURANT|Restaurant|500 N CLARK ST |CHICAGO|IL|60654|41.890862|-87.631253|(41.89086223772983, -87.63125333127317)|t
14|1000639|CHICAGOLAND PIZZA & PASTA|Restaurant|5620 S PULASKI RD |CHICAGO|IL|60629|41.790667|-87.723236|(41.79066695339908, -87.72323574527378)|t
15|1000774|RECLAIMED BAR AND RESTAURANT|Restaurant|3655 N WESTERN AVE|CHICAGO|IL|60618|41.948346|-87.688155|"
,  
(41.948345864607994, -87.6881554885054)"|t
16|1000849|Bravo Food & Liquor|Unknown|619 W 43RD ST |CHICAGO|IL|60609|41.816142|-87.641622|(41.81614184571898, -87.641621800862)|t
17|1000878|CHILPANCINGO|Unknown|358 W ONTARIO ST |CHICAGO|IL|60654|41.893246|-87.637870|(41.8932464758799, -87.6378702999609)|t
18|1000894|COSMIC CAFE|Restaurant|1300 S LAKE SHORE DR|CHICAGO|IL|60605|41.865732|-87.619669|"
,  
(41.865732312266495, -87.61966863731983)"|t
19|1000918|AMERICAN  PETROLEUM|Unknown|2950 N CICERO AVE |CHICAGO|IL|60641|41.934879|-87.746875|(41.93487868147403, -87.74687541003577)|t
20|1000971|KENSINGTON PLACE NURSING AND REHABILITATION CENTER|Long Term Care|3405 S MICHIGAN AVE |CHICAGO|IL|60616|41.832678|-87.623148|(41.83267813012173, -87.62314760698986)|t
21|1000978|J K & S FOOD & LIQUOR|Grocery Store|503 W 59TH ST |CHICAGO|IL|60621|41.787039|-87.637813|(41.7870390747415, -87.63781272819968)|t
22|1001031|Le Peep Restaurant|Restaurant|1010 W WASHINGTON BLVD |CHICAGO|IL|60607|41.883163|-87.652569|(41.883163475817916, -87.6525689466173)|t
23|1001133|TUTTO FRESCO|Restaurant|3829 N BROADWAY |CHICAGO|IL|60613|41.952091|-87.649486|(41.95209131570125, -87.64948576380081)|t
24|1011|FITZGERALD'S LIQUORS|Unknown|8700 S YATES BLVD |CHICAGO|IL|60617|41.737219|-87.566176|(41.737218597971726, -87.5661760914667)|t
