inspection_type_id|inspection_type
1|Duplicated
2|license task 1474
3|license
4|LICENSE/NOT READY
5|LICENSE REQUEST
6|Complaint-Fire Re-inspection
7|LICENSE DAYCARE 1586
8|Kids Cafe'
9|Out of Business
10|TWO PEOPLE ATE AND GOT SICK.
11|Task Force Liquor Catering
12|Pre-License Consultation
13|citation re-issued
14|SFP/Complaint
15|Short Form Complaint
16|LICENSE RENEWAL INSPECTION FOR DAYCARE
17|SMOKING COMPLAINT
18|TASK FORCE LIQUOR (1481)
19|TASTE OF CHICAGO
20|NO ENTRY-SHORT COMPLAINT)
21|TASK FORCE LIQUOR 1470
22|DAY CARE LICENSE RENEWAL
23|Summer Feeding
24|Suspected Food Poisoning Re-inspection
25|Special Task Force
26|finish complaint inspection from 5-18-10
27|CITF
28|out ofbusiness
29|CANVASS RE INSPECTION OF CLOSE UP
30|LICENSE CONSULTATION
31|Recent inspection
32|Special Events (Festivals)
33|RECALL INSPECTION
34|Suspected Food Poisoning
35|TASK FORCE PACKAGE LIQUOR
36|TASK FORCE NOT READY
37|expansion
38|ADDENDUM
39|FIRE
40|REINSPECTION
41|CORRECTIVE ACTION
42|SFP
43|CANVASS SCHOOL/SPECIAL EVENT
44|Package Liquor 1474
45|CHANGED COURT DATE
46|CANVASS/SPECIAL EVENT
47|Task Force for liquor 1474
48|SFP RECENTLY INSPECTED
49|SPECIAL TASK FORCE
50|Business Not Located
51|LICENSE TASK FORCE / NOT -FOR-PROFIT CLU
52|HACCP QUESTIONAIRE
53|KITCHEN CLOSED FOR RENOVATION
54|Recent Inspection
55|TASK FORCE PACKAGE GOODS 1474
56|REINSPECTION OF 48 HOUR NOTICE
57|Illegal Operation
58|OUT OF BUSINESS
59|ASSESSMENT
60|CANVASS
61|LICENSE
62|CANVASS FOR RIB FEST
63|SFP/COMPLAINT
64|KIDS CAFE
65|Short Form Fire-Complaint
66|License-Task Force
67|LICENSE TASK FORCE / NOT -FOR-PROFIT CLUB
68|TAVERN 1470
69|Complaint Re-Inspection
70|Task Force Liquor 1475
71|License consultation
72|FIRE/COMPLAIN
73|Complaint-Fire
74|COVID COMPLAINT
75|Canvass Re-Inspection
76|No entry
77|O.B.
78|CANVASS SPECIAL EVENTS
79|error save
80|Canvass
81|LIQOUR TASK FORCE NOT READY
82|Non-Inspection
83|Consultation
84|License Re-Inspection
85|no entry
86|LICENSE CANCELED BY OWNER
87|CANVAS
88|License
89|Task force liquor inspection 1474
90|task force
91|RE-INSPECTION OF CLOSE-UP
92|TASK FORCE LIQUOR 1474
93|POSSIBLE FBI
94|Not Ready
95|Tag Removal
96|NO ENTRY
97|CLOSE-UP/COMPLAINT REINSPECTION
98|LIQUOR CATERING
99|fire complaint
100|1315 license reinspection
101|LICENSE WRONG ADDRESS
102|Complaint
103|No Entry
104|task force(1470) liquor tavern
105|sfp/complaint
106|Sample Collection
107|LICENSE RENEWAL FOR DAYCARE
108|TASKFORCE
109|TASK FORCE NIGHT
