violation_code|era|violation_description
1|post_2018|PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES
1|pre_2018|SOURCE SOUND CONDITION, NO SPOILAGE, FOODS PROPERLY LABELED, SHELLFISH TAGS IN PLACE
10|post_2018|ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE
10|pre_2018|SEWAGE AND WASTE WATER DISPOSAL, NO BACK SIPHONAGE, CROSS  CONNECTION AND/OR BACK FLOW
11|post_2018|FOOD OBTAINED FROM APPROVED SOURCE
11|pre_2018|ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED
12|post_2018|FOOD RECEIVED AT PROPER TEMPERATURE
12|pre_2018|HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA
13|post_2018|FOOD IN GOOD CONDITION, SAFE, & UNADULTERATED
13|pre_2018|NO EVIDENCE OF RODENT OR INSECT INFESTATION, NO BIRDS, TURTLES OR OTHER ANIMALS
14|post_2018|REQUIRED RECORDS AVAILABLE: SHELLSTOCK TAGS, PARASITE DESTRUCTION
14|pre_2018|PREVIOUS SERIOUS VIOLATION CORRECTED, 7-42-090
15|post_2018|FOOD SEPARATED AND PROTECTED
15|pre_2018|UNWRAPPED AND POTENTIALLY HAZARDOUS FOOD NOT RE-SERVED
16|post_2018|FOOD-CONTACT SURFACES: CLEANED & SANITIZED
16|pre_2018|FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION
17|post_2018|PROPER DISPOSITION OF RETURNED, PREVIOUSLY SERVED, RECONDITIONED & UNSAFE FOOD
17|pre_2018|POTENTIALLY HAZARDOUS FOOD PROPERLY THAWED
18|post_2018|PROPER COOKING TIME & TEMPERATURES
18|pre_2018|NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS
19|post_2018|PROPER REHEATING PROCEDURES FOR HOT HOLDING
19|pre_2018|OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED
2|post_2018|CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE
2|pre_2018|FACILITIES TO MAINTAIN PROPER TEMPERATURE
20|post_2018|PROPER COOLING TIME AND TEMPERATURE
20|pre_2018|INSIDE CONTAINERS OR RECEPTACLES: ADEQUATE NUMBER, PROPERLY COVERED AND INSECT/RODENT PROOF
21|post_2018|PROPER HOT HOLDING TEMPERATURES
21|pre_2018|* CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED
22|post_2018|PROPER COLD HOLDING TEMPERATURES
22|pre_2018|DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK
23|post_2018|PROPER DATE MARKING AND DISPOSITION
23|pre_2018|DISHES AND UTENSILS FLUSHED, SCRAPED, SOAKED
24|post_2018|TIME AS A PUBLIC HEALTH CONTROL; PROCEDURES & RECORDS
24|pre_2018|DISH WASHING FACILITIES: PROPERLY DESIGNED, CONSTRUCTED, MAINTAINED, INSTALLED, LOCATED AND OPERATED
