inspection_id|facility_id|inspection_type_id|inspection_date|risk|results
120273|1|80|2010-01-06|High|Pass
68074|1|80|2010-01-28|High|Pass
120331|1|80|2010-02-08|High|Pass w/ Conditions
68320|1|83|2010-03-02|High|Fail
176500|1|102|2010-03-04|Low|Fail
120396|1|15|2010-03-19|Low|Pass
68389|1|88|2010-04-12|Low|Pass
52244|1|102|2010-04-14|High|Fail
154349|1|80|2010-04-16|Medium|Pass
120440|1|80|2010-04-20|High|Pass
52247|1|69|2010-04-21|High|Pass
70427|1|32|2010-05-03|High|Fail
74431|1|83|2010-05-03|High|Fail
233577|1|102|2010-05-06|High|Pass
233658|1|32|2010-05-10|High|Pass
233663|1|32|2010-05-10|High|Pass
233862|1|80|2010-05-14|High|Pass
120483|1|102|2010-06-03|High|Fail
120488|1|69|2010-06-07|High|Pass
60550|1|32|2010-06-07|High|Fail
250665|1|32|2010-06-08|Medium|Pass
205353|1|88|2010-06-10|Low|Pass
250795|1|83|2010-06-10|High|Pass
114502|1|88|2010-06-10|Medium|Fail
250823|1|84|2010-06-11|Medium|Pass
88411|1|32|2010-06-11|High|Pass
250869|1|80|2010-06-14|Low|Pass
250853|1|80|2010-06-14|High|Pass
250859|1|80|2010-06-14|Low|Pass
114508|1|88|2010-06-15|Medium|Pass
205360|1|88|2010-06-15|Medium|Fail
114510|1|88|2010-06-15|Medium|Pass
205359|1|88|2010-06-15|Medium|Pass
205358|1|88|2010-06-15|Medium|Pass
205361|1|88|2010-06-15|Medium|Pass
205362|1|88|2010-06-15|Low|Pass
251011|1|32|2010-06-17|Medium|Pass
160407|1|32|2010-06-17|Medium|Pass w/ Conditions
251093|1|80|2010-06-18|Medium|Pass w/ Conditions
251072|1|80|2010-06-18|High|Pass
205372|1|88|2010-06-21|Low|Fail
251120|1|80|2010-06-21|High|Pass
205371|1|88|2010-06-21|Low|Fail
256207|1|80|2010-06-23|High|Fail
251297|1|80|2010-06-25|High|Pass
277125|1|88|2010-07-07|Low|Pass
251161|1|32|2010-06-22|High|Pass
317234|1|32|2010-08-02|High|Fail
277972|1|32|2010-08-04|High|Pass
284253|1|15|2010-08-05|Low|Business Not Located
284223|1|75|2010-08-11|High|Pass
284365|1|32|2010-08-16|Medium|Pass
284423|1|80|2010-08-17|High|Pass
285022|1|80|2010-09-02|High|Pass
285145|1|57|2010-09-08|Low|Pass
383226|1|80|2010-09-10|High|Fail
317283|1|64|2010-09-15|High|Fail
383231|1|75|2010-09-17|High|Pass
413893|1|83|2010-09-27|High|Pass
335339|1|80|2010-10-13|Medium|Fail
428224|1|95|2010-10-28|High|Pass w/ Conditions
383255|1|102|2010-12-06|High|Pass w/ Conditions
479236|1|80|2010-12-18|Low|Fail
486694|1|83|2010-12-21|Low|Pass
489424|1|80|2010-12-28|High|Pass
401406|1|15|2010-12-30|Low|Fail
317409|1|83|2011-01-04|Medium|Fail
490859|1|83|2011-01-04|Low|Fail
491062|1|80|2011-01-06|High|Pass w/ Conditions
491098|1|102|2011-01-10|Low|Pass w/ Conditions
491192|1|15|2011-01-13|High|Pass
491208|1|102|2011-01-14|Medium|Fail
491345|1|69|2011-01-24|Medium|Pass w/ Conditions
317439|1|15|2011-01-26|Low|Fail
491684|1|75|2011-02-09|High|Pass
491742|1|69|2011-02-11|High|Pass
531223|1|15|2011-02-14|Medium|Pass
381256|1|102|2011-02-10|High|Fail
565242|1|80|2011-03-02|High|Pass
353274|1|80|2011-03-03|High|Fail
353283|1|75|2011-03-10|High|Pass
579789|1|102|2011-03-16|Low|Fail
531262|1|102|2011-03-17|Medium|Fail
347300|1|83|2011-03-21|Medium|Fail
166312|1|102|2011-03-21|Medium|Business Not Located
579930|1|69|2011-03-24|Low|Pass
517289|1|80|2011-04-12|Medium|Pass
580387|1|102|2011-04-15|Low|Pass
580774|1|32|2011-05-05|High|Pass
517326|1|80|2011-05-06|High|Pass
537341|1|102|2011-05-10|Low|Business Not Located
543360|1|80|2011-05-10|High|Pass
531358|1|102|2011-05-11|Medium|Fail
517338|1|80|2011-05-11|Medium|Pass
531377|1|69|2011-05-20|Medium|Pass
545375|1|102|2011-05-24|High|Business Not Located
531395|1|102|2011-06-01|Low|Out of Business
569377|1|88|2011-06-01|Medium|Pass
569378|1|88|2011-06-01|Medium|Pass
565370|1|80|2011-06-01|Medium|Pass
569380|1|88|2011-06-01|Medium|Pass
569386|1|88|2011-06-03|Low|Pass
569388|1|88|2011-06-03|Medium|Pass
569387|1|88|2011-06-03|Low|Pass
569392|1|88|2011-06-06|Medium|Pass
517385|1|80|2011-06-06|High|Pass
585258|1|32|2011-06-07|High|Fail
565383|1|32|2011-06-07|Medium|Pass
569398|1|88|2011-06-08|Medium|Pass
569402|1|88|2011-06-08|Medium|Pass
569400|1|88|2011-06-08|Medium|Pass
583277|1|15|2011-06-09|High|Pass
537439|1|12|2011-06-10|Low|Fail
569411|1|88|2011-06-14|Medium|Pass
585372|1|75|2011-06-14|High|Pass
569410|1|80|2011-06-14|Low|Out of Business
569409|1|88|2011-06-14|Low|Pass
585405|1|32|2011-06-16|High|Pass
612298|1|80|2011-06-23|Medium|Pass w/ Conditions
585537|1|80|2011-06-24|Medium|Pass
585749|1|80|2011-07-12|High|Pass
545448|1|102|2011-07-26|Medium|Business Not Located
537517|1|102|2011-08-03|Medium|Business Not Located
586165|1|80|2011-08-05|Medium|Pass
531487|1|80|2011-08-09|High|Pass
521659|1|80|2011-08-10|Medium|Pass
547616|1|32|2011-08-16|High|Pass
521675|1|102|2011-08-17|Low|Pass
598328|1|80|2011-08-23|Medium|Pass
626263|1|80|2011-08-26|High|Pass
517498|1|102|2011-09-01|High|Fail
657255|1|102|2011-09-08|Medium|Business Not Located
634522|1|34|2011-09-09|High|Pass w/ Conditions
517510|1|69|2011-09-09|High|Pass
519254|1|83|2011-09-12|High|Fail
545536|1|102|2011-09-15|Medium|Fail
521768|1|80|2011-09-23|Low|Pass
519260|1|83|2011-09-26|High|Pass
606424|1|80|2011-09-28|Medium|Pass w/ Conditions
537688|1|80|2011-11-07|High|Out of Business
657338|1|102|2011-11-09|High|Fail
598483|1|80|2011-11-15|Medium|Fail
657347|1|69|2011-11-16|High|Fail
598466|1|80|2011-11-16|High|Out of Business
537749|1|80|2011-12-06|High|Pass
673217|1|80|2011-12-06|High|Pass
598507|1|102|2011-12-07|Low|Pass
531742|1|80|2011-12-21|High|Pass
521961|1|102|2011-12-27|Low|Pass
545723|1|102|2012-01-03|Low|Fail
569385|1|88|2011-06-03|Low|Pass
531779|1|15|2012-01-10|High|Pass
531782|1|102|2012-01-19|Low|Fail
670698|1|80|2012-02-21|Low|Pass
1134208|1|80|2012-03-26|High|Pass
920216|1|80|2012-03-26|Medium|Fail
1182220|1|80|2012-03-29|Low|Pass
679355|1|83|2012-03-30|High|Fail
920231|1|75|2012-04-03|Medium|Pass w/ Conditions
679851|1|80|2012-04-12|High|Fail
1158244|1|80|2012-04-12|High|Pass
1214351|1|75|2012-04-24|High|Pass
1214370|1|80|2012-04-25|Medium|Pass
1138249|1|80|2012-04-26|Medium|Pass
1225208|1|102|2012-04-26|High|Pass
1196277|1|102|2012-05-01|Medium|Pass
1214521|1|80|2012-05-01|Medium|Out of Business
1214574|1|102|2012-05-02|High|Fail
1214646|1|80|2012-05-04|High|Pass
1286054|1|80|2012-05-04|High|Out of Business
1214649|1|83|2012-05-04|High|Fail
1214641|1|12|2012-05-04|High|Fail
1170214|1|69|2012-05-08|High|Fail
1170219|1|69|2012-05-11|High|Pass
1214833|1|80|2012-05-11|Medium|Pass
1214859|1|80|2012-05-14|High|Pass
1215054|1|102|2012-05-22|Low|Fail
1229323|1|69|2012-06-04|Low|Fail
1229479|1|12|2012-06-07|High|Fail
1229456|1|102|2012-06-07|High|Fail
1198311|1|80|2012-06-11|Medium|Pass
1229561|1|80|2012-06-12|High|Pass
1229587|1|80|2012-06-13|Low|Out of Business
1150466|1|80|2012-06-13|High|Pass w/ Conditions
1229652|1|80|2012-06-14|Low|Pass
1229649|1|80|2012-06-14|Low|Pass
1277222|1|32|2012-06-14|Medium|Pass
1277227|1|69|2012-06-15|Low|Pass
1134349|1|80|2012-06-22|Medium|Pass
1202334|1|80|2012-06-25|High|Pass
1202335|1|15|2012-06-25|High|Fail
1088210|1|102|2012-06-26|High|Fail
531270|1|69|2011-03-24|Medium|Pass
1138369|1|80|2012-06-28|Medium|Pass
1138370|1|80|2012-06-28|Medium|Pass
1229985|1|32|2012-07-05|High|Fail
1230003|1|83|2012-07-09|Low|Fail
1235274|1|75|2012-07-10|High|Pass
1088227|1|69|2012-07-18|High|Pass w/ Conditions
1138402|1|80|2012-07-19|Medium|Pass
1188285|1|80|2012-07-25|Medium|Pass
1234544|1|102|2012-07-26|High|No Entry
1234451|1|88|2012-08-03|Medium|Fail
1234559|1|102|2012-08-09|High|No Entry
1174335|1|80|2012-08-14|Medium|Pass
1234654|1|32|2012-08-15|Medium|Pass
1234307|1|15|2012-07-25|Low|Pass
1084357|1|80|2012-08-22|Medium|Pass
1174396|1|15|2012-09-19|High|Pass
1227591|1|102|2012-09-25|High|Fail
1305208|1|15|2012-10-03|High|No Entry
1202458|1|102|2012-10-10|Medium|Fail
1114528|1|57|2012-10-29|Low|Fail
1096621|1|69|2012-11-08|Low|Fail
1313323|1|80|2012-12-13|High|Pass
1300953|1|102|2012-12-17|Medium|Fail
1188451|1|69|2012-12-27|Medium|No Entry
1321538|1|80|2013-01-24|High|Out of Business
1202626|1|102|2013-01-24|High|Fail
1188496|1|80|2013-01-29|Medium|Out of Business
1138820|1|80|2013-02-07|High|Out of Business
1322367|1|102|2013-02-15|High|Pass w/ Conditions
1235707|1|80|2013-03-27|Medium|Pass
1235722|1|102|2013-04-08|High|Pass
1138912|1|80|2013-04-16|Medium|Pass w/ Conditions
1198844|1|80|2013-05-07|Medium|Pass
1198859|1|80|2013-05-14|High|Pass
1324467|1|80|2013-05-16|Medium|Pass
1092423|1|80|2013-05-22|Medium|Pass
1198890|1|80|2013-05-29|High|Pass w/ Conditions
1198895|1|80|2013-05-30|High|Pass
1335930|1|80|2013-06-06|Medium|Pass
1335927|1|80|2013-06-06|Medium|Out of Business
1343315|1|80|2013-06-06|Low|Fail
1198907|1|80|2013-06-07|Medium|Pass
1235825|1|80|2013-06-12|High|Pass
1353232|1|80|2013-06-20|High|Fail
1353402|1|32|2013-06-28|High|Pass
1146459|1|75|2013-07-03|High|Pass
