"inspection_month","inspection_type","total_inspections","failures","fail_rate_pct"
"2013-08","Recent Inspection",2,0,0.00
"2011-03","Short Form Fire-Complaint",3,1,33.33
"2018-11","Recent Inspection",5,1,20.00
"2011-07","Tag Removal",33,2,6.06
"2010-07","Short Form Complaint",90,11,12.22
"2025-08","License Re-Inspection",45,3,6.67
"2019-12","Recent Inspection",4,0,0.00
"2016-06","License Re-Inspection",56,3,5.36
"2023-02","License Re-Inspection",52,5,9.62
"2024-07","Recent Inspection",6,0,0.00
"2010-01","Recent Inspection",5,0,0.00
"2022-09","License",204,52,25.49
"2012-09","Consultation",4,1,25.00
"2011-06","License Re-Inspection",166,27,16.27
"2025-12","Suspected Food Poisoning Re-inspection",1,0,0.00
"2013-08","Canvass Re-Inspection",154,7,4.55
"2011-12","Consultation",4,1,25.00
"2013-01","Short Form Complaint",30,2,6.67
"2012-05","License",318,117,36.79
"2022-03","Complaint",195,75,38.46
"2011-09","Complaint-Fire",1,1,100.00
"2011-02","License Re-Inspection",94,11,11.70
"2010-07","CANVASS/SPECIAL EVENT",1,0,0.00
"2013-08","License Re-Inspection",65,5,7.69
"2021-12","License Re-Inspection",52,3,5.77
"2015-08","License Re-Inspection",68,6,8.82
"2023-05","Canvass",626,136,21.73
"2014-05","License",261,91,34.87
"2025-07","Canvass Re-Inspection",173,10,5.78
"2016-08","Consultation",1,0,0.00
"2014-04","Tag Removal",1,0,0.00
"2010-03","Illegal Operation",2,0,0.00
"2011-12","TASK FORCE LIQUOR 1470",1,1,100.00
"2026-06","License",259,57,22.01
"2022-12","License",153,38,24.84
"2025-08","Short Form Complaint",40,5,12.50
"2025-03","Short Form Complaint",37,4,10.81
"2022-07","Suspected Food Poisoning Re-inspection",2,0,0.00
"2026-04","License",238,38,15.97
"2015-10","Suspected Food Poisoning Re-inspection",2,0,0.00
"2021-02","Short Form Complaint",11,1,9.09
"2011-08","License-Task Force",23,14,60.87
"2019-02","Complaint",147,46,31.29
"2011-08","Pre-License Consultation",1,1,100.00
"2023-10","Consultation",1,0,0.00
"2021-01","Canvass",589,103,17.49
"2011-11","Complaint",140,56,40.00
"2026-07","Non-Inspection",30,0,0.00
"2012-01","Canvass Re-Inspection",97,4,4.12
"2013-10","Recent Inspection",2,0,0.00
"2014-06","Canvass Re-Inspection",219,8,3.65
"2021-04","License Re-Inspection",47,4,8.51
"2015-11","Canvass",1032,161,15.60
"2023-08","Short Form Complaint",42,3,7.14
"2010-11","Tag Removal",24,2,8.33
"2010-05","Special Events (Festivals)",3,1,33.33
"2016-06","Tag Removal",1,0,0.00
"2016-04","Recent Inspection",6,1,16.67
"2014-04","Complaint Re-Inspection",50,4,8.00
"2010-01","TASK FORCE LIQUOR 1474",1,1,100.00
"2016-09","Recent Inspection",4,1,25.00
"2022-05","Canvass Re-Inspection",162,18,11.11
"2016-05","Suspected Food Poisoning Re-inspection",2,0,0.00
"2018-03","Suspected Food Poisoning Re-inspection",2,0,0.00
"2016-02","Suspected Food Poisoning",3,1,33.33
"2018-02","Short Form Complaint",13,1,7.69
